=== 服务器启动 ===
[2025-07-24 11:24:22.996] 服务器已初始化，准备接收0-999共1000个音频块
[2025-07-24 11:24:22.997] ASR流服务器已在 0.0.0.0:8000 启动
[2025-07-24 11:24:22.998] 接收路径格式: /api/v1/asr/stream/[块编号] (0-999)
[2025-07-24 11:24:22.999] 输出文件: received_audio.pcm, 日志文件: stream_server.log
[2025-07-24 11:24:34.919] 请求 #1 (ID: 1888aafc) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/0
[2025-07-24 11:24:34.921] 请求 #1 - 块 0, 大小: 6400 bytes, 数据哈希: c47f5d38
[2025-07-24 11:24:34.926] 请求 #1 - 块 0 已写入 (版本 1), 位置: 0, 已接收: 1/1000 (0.1%)
[2025-07-24 11:24:34.967] 请求 #2 (ID: 0a3e4315) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/1
[2025-07-24 11:24:35.039] 请求 #2 - 块 1, 大小: 6400 bytes, 数据哈希: 7bd77a40
[2025-07-24 11:24:35.053] 请求 #2 - 块 1 已写入 (版本 1), 位置: 6400, 已接收: 2/1000 (0.2%)
[2025-07-24 11:24:35.089] 请求 #3 (ID: c9210873) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/2
[2025-07-24 11:24:35.148] 请求 #3 - 块 2, 大小: 6400 bytes, 数据哈希: 29d33dc0
[2025-07-24 11:24:35.161] 请求 #3 - 块 2 已写入 (版本 1), 位置: 12800, 已接收: 3/1000 (0.3%)
[2025-07-24 11:24:35.206] 请求 #4 (ID: a46df041) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/3
[2025-07-24 11:24:35.280] 请求 #4 - 块 3, 大小: 6400 bytes, 数据哈希: 58954cee
[2025-07-24 11:24:35.294] 请求 #4 - 块 3 已写入 (版本 1), 位置: 19200, 已接收: 4/1000 (0.4%)
[2025-07-24 11:24:35.375] 请求 #5 (ID: 66d6995d) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/4
[2025-07-24 11:24:35.439] 请求 #5 - 块 4, 大小: 6400 bytes, 数据哈希: 181cdc45
[2025-07-24 11:24:35.457] 请求 #5 - 块 4 已写入 (版本 1), 位置: 25600, 已接收: 5/1000 (0.5%)
[2025-07-24 11:24:35.499] 请求 #6 (ID: b973ee68) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/5
[2025-07-24 11:24:35.562] 请求 #6 - 块 5, 大小: 6400 bytes, 数据哈希: 76b00c58
[2025-07-24 11:24:35.577] 请求 #6 - 块 5 已写入 (版本 1), 位置: 32000, 已接收: 6/1000 (0.6%)
[2025-07-24 11:24:35.615] 请求 #7 (ID: f0e8f12f) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/6
[2025-07-24 11:24:35.687] 请求 #7 - 块 6, 大小: 6400 bytes, 数据哈希: 2741c9e7
